Soil_Type,Soil_pH,Organic_Carbon,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Recommended_Fertilizer,Dosage_kg_ropani
Clay,6.07,0.32,61,44,84,27.99,86.9,1622.01,Cotton,Harvest,Summer,Canal,MOP,0.41
Silt,6.39,0.28,59,56,18,37.21,70.54,1532.41,Maize,Vegetative,Summer,Sprinkler,Urea,5.39
Sandy,7.92,0.99,43,21,119,33.71,75.4,1187.54,Cotton,Flowering,Summer,Rainfed,Urea,2.99
Clay,5.86,1.47,88,46,34,22.43,48.85,703.51,Wheat,Flowering,Spring,Sprinkler,MOP,0.46
Clay,7.98,0.85,104,53,98,31.58,84.9,2135.99,Potato,Sowing,Summer,Rainfed,Zinc Sulphate,1.24
Silt,4.85,0.27,48,31,87,24.69,44.43,186.11,Rice,Harvest,Spring,Sprinkler,Urea,0.93
Sandy,7.61,0.49,56,20,40,19.93,63.05,246.68,Maize,Sowing,Spring,Canal,Urea,3.81
Sandy,7.89,0.52,39,64,22,8.43,54.15,130.53,Wheat,Harvest,Winter,Sprinkler,Urea,0.91
Clay,5.23,0.64,23,19,74,18.94,47.91,524.91,Cotton,Vegetative,Spring,Drip,Urea,3.83
Loamy,6.22,0.26,158,51,39,17.21,49.26,115.93,Rice,Harvest,Winter,Sprinkler,MOP,0.41
Clay,5.16,2.76,105,89,82,24.5,79.46,1848.57,Maize,Harvest,Summer,Rainfed,Compost,76.31
Clay,7.33,0.87,71,85,113,13.27,42.0,197.71,Potato,Vegetative,Winter,Rainfed,NPK,12.02
Clay,6.64,1.08,62,64,38,20.97,40.66,630.62,Wheat,Harvest,Spring,Rainfed,MOP,0.41
Clay,7.04,0.29,141,59,104,9.22,32.11,74.35,Cotton,Vegetative,Winter,Sprinkler,NPK,7.13
Silt,5.29,0.27,151,41,27,24.5,87.16,2704.54,Maize,Vegetative,Summer,Rainfed,MOP,3.09
Sandy,5.35,0.96,96,77,12,8.5,25.43,258.41,Wheat,Harvest,Winter,Sprinkler,MOP,0.41
Silt,4.67,1.29,102,27,44,22.93,93.84,870.64,Rice,Sowing,Summer,Rainfed,DAP,2.05
Silt,5.79,0.89,88,74,75,25.63,54.64,199.56,Rice,Sowing,Spring,Drip,NPK,4.34
Silt,6.74,2.94,33,34,13,35.86,68.5,2216.51,Potato,Harvest,Summer,Rainfed,Urea,1.31
Clay,7.93,3.03,89,40,50,7.48,25.63,249.35,Potato,Harvest,Winter,Canal,Zinc Sulphate,0.73
Loamy,7.17,0.3,24,28,88,14.03,43.36,158.65,Wheat,Flowering,Winter,Canal,Urea,2.59
Sandy,6.24,0.46,21,27,90,7.84,25.65,260.24,Rice,Harvest,Winter,Sprinkler,Urea,0.99
Loamy,8.31,2.48,25,77,99,27.09,50.87,748.5,Rice,Sowing,Spring,Canal,Urea,3.36
Silt,7.38,0.78,53,42,104,12.74,54.81,96.73,Wheat,Sowing,Winter,Sprinkler,Urea,2.41
Silt,8.22,0.58,41,79,39,22.09,51.15,782.84,Cotton,Flowering,Spring,Rainfed,Urea,3.12
Loamy,6.61,0.74,151,16,96,23.6,55.58,543.87,Sugarcane,Flowering,Spring,Drip,DAP,1.22
Loamy,5.54,0.78,132,10,103,8.44,30.5,34.74,Maize,Flowering,Winter,Drip,DAP,1.34
Loamy,4.71,2.45,153,89,20,26.74,63.41,462.81,Rice,Flowering,Spring,Drip,MOP,1.01
Silt,7.4,0.33,86,68,42,31.62,86.29,2478.49,Cotton,Sowing,Summer,Canal,Zinc Sulphate,1.2
Silt,4.99,0.56,96,43,47,33.33,71.91,2470.87,Cotton,Flowering,Summer,Canal,Compost,240.25
Sandy,5.71,0.9,32,61,119,16.28,61.58,631.91,Potato,Flowering,Spring,Rainfed,Urea,4.36
Sandy,6.63,2.87,135,20,14,22.33,77.43,2749.36,Sugarcane,Flowering,Summer,Canal,DAP,1.61
Silt,6.76,3.27,106,17,68,37.52,65.99,2403.87,Tomato,Harvest,Summer,Canal,DAP,0.52
Loamy,6.9,2.05,87,19,108,35.32,69.08,2841.18,Wheat,Harvest,Summer,Sprinkler,DAP,0.51
Loamy,5.17,1.29,120,24,60,13.61,46.32,197.19,Rice,Sowing,Winter,Sprinkler,DAP,1.27
Sandy,6.02,0.92,76,37,74,25.4,74.59,1531.84,Maize,Flowering,Summer,Canal,DAP,1.29
Silt,6.97,0.48,153,23,77,24.91,75.26,1907.06,Rice,Vegetative,Summer,Sprinkler,DAP,2.21
Sandy,8.38,0.79,90,67,67,24.93,91.99,830.98,Maize,Flowering,Summer,Drip,Zinc Sulphate,1.45
Sandy,7.41,3.1,122,25,57,26.87,87.25,815.31,Maize,Sowing,Summer,Rainfed,DAP,1.84
Clay,8.19,1.85,152,61,67,30.4,94.17,1328.28,Sugarcane,Flowering,Summer,Sprinkler,Zinc Sulphate,1.01
Clay,7.55,1.33,79,46,111,18.02,72.8,363.43,Potato,Flowering,Spring,Rainfed,Compost,194.6
Clay,6.87,0.99,128,11,46,24.22,58.12,470.62,Maize,Flowering,Spring,Drip,DAP,1.06
Loamy,5.27,0.88,120,43,16,15.59,29.65,153.64,Wheat,Flowering,Winter,Canal,MOP,0.57
Silt,7.17,0.22,28,43,69,28.91,82.97,1021.78,Maize,Sowing,Summer,Drip,Urea,4.34
Silt,6.99,0.29,151,67,68,15.11,41.2,183.13,Cotton,Harvest,Winter,Rainfed,NPK,1.6
Silt,6.91,0.4,93,82,19,26.66,72.25,1372.47,Tomato,Harvest,Summer,Canal,MOP,0.97
Silt,6.46,0.27,115,70,42,31.79,74.83,1189.5,Cotton,Harvest,Summer,Sprinkler,Compost,100.48
Clay,6.61,0.72,148,63,60,14.89,27.42,272.82,Tomato,Sowing,Winter,Drip,Zinc Sulphate,0.36
Loamy,5.84,0.64,46,76,87,24.23,74.6,862.74,Potato,Flowering,Summer,Rainfed,Urea,3.73
Loamy,6.58,2.54,134,39,45,7.44,48.0,291.88,Rice,Harvest,Winter,Rainfed,DAP,0.51
Clay,5.29,0.9,135,89,47,6.15,42.55,201.3,Maize,Flowering,Winter,Drip,Compost,152.04
Loamy,7.72,0.97,147,68,64,26.67,74.79,2800.47,Sugarcane,Sowing,Summer,Canal,MOP,2.01
Clay,5.24,0.81,110,67,39,27.86,85.19,818.09,Tomato,Vegetative,Summer,Canal,MOP,3.74
Silt,4.84,0.56,98,33,35,29.3,80.92,2419.38,Maize,Flowering,Summer,Sprinkler,DAP,1.72
Clay,6.24,2.45,137,24,104,25.71,56.54,745.5,Maize,Flowering,Spring,Drip,DAP,0.86
Silt,7.13,0.31,26,31,51,34.56,76.56,1134.73,Maize,Sowing,Summer,Sprinkler,Urea,5.09
Silt,6.25,2.19,152,41,56,14.09,27.59,236.3,Sugarcane,Flowering,Winter,Canal,SSP,2.52
Sandy,5.61,0.6,135,84,28,25.19,69.47,2806.91,Rice,Vegetative,Summer,Sprinkler,MOP,2.99
Clay,6.73,0.87,122,51,113,9.79,50.46,52.63,Potato,Vegetative,Winter,Rainfed,NPK,9.77
Sandy,5.89,0.34,72,68,86,10.62,41.41,73.39,Maize,Harvest,Winter,Canal,Zinc Sulphate,0.71
Clay,8.23,0.29,138,64,96,5.4,52.65,227.97,Rice,Harvest,Winter,Canal,Zinc Sulphate,1.41
